Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Beechcraft Super King Air 200","Dassault Falcon 50","Cessna Caravan","Beechcraft 1900D","Britten-Norman MKIII Trislander","Let L-410UVP-E20","Let L-410NG","Bombardier DHC-6-400","Bombardier Global 5000","Short 360-200","Short 330-200","Saab 340","Embraer EMB120 Brasilia","Dornier 328-110","Cessna Citation X","CASA CN-235","Embraer ERJ140","Bombardier DHC-8-100","Embraer ERJ135","Antonov An148","Bombardier Global 7500","Dornier 328JET","ATR 42-600","Fokker 70","Fokker 50","Fokker 70ER","Tupolev Tu-154","Saab 2000","Bombardier DHC-8-200","Comac ARJ21","Fokker 100","Embraer ERJ145","Embraer ERJ145XR","Tupolev Tu-204","ATR 72-600","Sukhoi Superjet 100","Boeing 717-200","Boeing 737-200","Bombardier DHC-8-300","Embraer ERJ170","Embraer EMB170-200","Embraer ERJ175","Bombardier CRJ100","Bombardier Q400","Boeing 737-100","BAe 146-200","Boeing 727-200","Gulfstream G650ER","Bombardier CRJ200","Boeing 737-300","Bombardier DHC-8-400","Bombardier CRJ900","Embraer E175-E2","Boeing 737-400","McDonnell Douglas MD-81","Lockheed L-1011-1","Embraer EMB190","McDonnell Douglas MD-90","Bombardier CRJ1000","Boeing 737-500","Ilyushin Il-96-300","Embraer E190-E2","Bombardier CRJ700","Boeing 757-300","Ilyushin 96-400","McDonnell Douglas DC-8-50","Boeing 737-700ER","Airbus A300-600","Boeing 737-600","Irkut MC-21-300","Airbus A310-200","Boeing 737-700","Boeing 737-900ER","Mitsubishi MRJ-100","Lockheed L-1011-500","Boeing 737-800","Boeing 737-900","Comac C919","Embraer E195-E2","Boeing 767-300","Airbus A310-300","Airbus A320neo",Concorde,"McDonnell Douglas DC-10-30","Airbus A320","Airbus A319neo","Mitsubishi MRJ-90","Boeing 747-100","Bombardier CS100","Airbus A321","Airbus A321neoXLR","Tupolev Tu-144D","Airbus A318","McDonnell Douglas MD-11","Boeing 737-700C","Boeing 757-200ER","Boeing 757-200","Airbus A340-200","Boeing 747-200","Boeing 747-300","Airbus A319","Airbus A321neoLR","Boeing 737 MAX 8","Airbus A340-500","Bombardier CS300","Boeing 737 MAX 7","Boeing 767-200ER","Airbus A340-300","Boeing 747-400ER","Airbus A340-600","Boeing 747-400","Boeing 777-300","Airbus A330-200","Boeing 767-400ER","Boeing 737 MAX 9","Airbus A321neo","Boeing 787-8 Dreamliner","Boeing 737 MAX 10","Boeing 767-200","Airbus A330-300","Boeing 777-200ER","Boeing 777-200LR","Boeing 787-9 Dreamliner","Boeing 777-300ER","Airbus A350-900","Boeing 767-300ER","Airbus A350-900ULR","Boeing 787-10 Dreamliner","Airbus A330-800neo","Boeing 747SP","Airbus A350-800","Boeing 777-200","Airbus A330-900neo","Boeing 777-8","Boeing 747-8i","Airbus A350-1000","Airbus A380-800","Boeing 777-9"
"eXtreme eXpress chickenZ",539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0
"To The Sky Airline",694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,502,0,0,0,0,0
"WestPac Airlines",507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,242,10,0,0,0,0,0,0,236,0,0,0,0,0,0,0,15,0,0,0,0
AeroExpat,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,151,0,0
ForeverAir,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,52,0,0,0,290,0,0,0,0,123,0,0
"Jerry Airlines",494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,339,0,0,0,22,0
"Air Nigeria",376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0
MayanAir,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,10,0,0,0,0,0,114,0,0,0,31,0,8,0,0,0,0,0,0,0,0,0,41,0,0,0,0
"Metro Air",228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,28,0,0,0
"Just Go Travel Airways",306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0
