Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Beechcraft Super King Air 200","Cessna Caravan","Dassault Falcon 50","Let L-410UVP-E20","Britten-Norman MKIII Trislander","Beechcraft 1900D","Let L-410NG","Bombardier Global 5000","Bombardier DHC-6-400","Short 360-200","Short 330-200","Saab 340","Cessna Citation X","Embraer EMB120 Brasilia","Dornier 328-110","CASA CN-235","Bombardier Global 7500","Bombardier DHC-8-100","Dornier 328JET","Fokker 50","ATR 42-600","Fokker 70","Antonov An148","ATR 72-600","Embraer ERJ140","Embraer ERJ135","Fokker 70ER","Sukhoi Superjet 100","Bombardier DHC-8-200","Comac ARJ21","Embraer EMB170-200","Saab 2000","Tupolev Tu-204","Embraer ERJ145XR","Tupolev Tu-154","Boeing 717-200","Embraer ERJ175","Bombardier DHC-8-300","Embraer ERJ170","BAe 146-200","Fokker 100","Boeing 737-200","Bombardier Q400","Embraer ERJ145","Boeing 737-100","Embraer E175-E2","Bombardier CRJ100","Boeing 727-200","Boeing 737-500","Boeing 737-300","Boeing 737-400","Gulfstream G650ER","Bombardier CRJ200","Embraer EMB190","McDonnell Douglas MD-90","Bombardier CRJ900","McDonnell Douglas MD-81","Bombardier DHC-8-400","Irkut MC-21-300","McDonnell Douglas DC-8-50","Airbus A300-600","Boeing 737-600","Boeing 737-900","Mitsubishi MRJ-100","Airbus A320neo","Bombardier CRJ700","Boeing 757-300","Lockheed L-1011-1","Embraer E190-E2","Comac C919","Ilyushin 96-400","Ilyushin Il-96-300","Airbus A310-300","Bombardier CRJ1000","Airbus A320","Boeing 737-700ER","Airbus A310-200","Embraer E195-E2","Boeing 737-700","Boeing 767-300","Boeing 737-800","McDonnell Douglas MD-11","Lockheed L-1011-500","McDonnell Douglas DC-10-30","Airbus A319neo","Boeing 737 MAX 8","Boeing 737-900ER","Airbus A321","Airbus A321neoXLR","Boeing 757-200ER","Mitsubishi MRJ-90","Tupolev Tu-144D","Boeing 757-200","Boeing 747-100","Bombardier CS100","Boeing 767-400ER","Boeing 737-700C","Airbus A340-200","Airbus A330-300","Airbus A340-600","Airbus A340-300","Boeing 767-200ER","Boeing 747-300","Airbus A318","Airbus A319","Airbus A330-200","Boeing 747-200","Airbus A321neoLR","Airbus A340-500","Bombardier CS300","Boeing 737 MAX 7","Boeing 747-400","Boeing 747-400ER","Boeing 777-300","Airbus A350-900","Airbus A321neo","Boeing 737 MAX 9","Boeing 787-8 Dreamliner","Boeing 777-200ER","Boeing 777-200LR","Boeing 777-300ER","Boeing 737 MAX 10","Boeing 767-200","Boeing 777-8","Airbus A350-900ULR","Boeing 787-9 Dreamliner",Concorde,"Boeing 767-300ER","Boeing 787-10 Dreamliner","Boeing 747SP","Airbus A330-800neo","Airbus A350-800","Boeing 777-200","Airbus A330-900neo","Airbus A350-1000","Boeing 747-8i","Airbus A380-800","Boeing 777-9"
"American Chicken",442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,139,0,0,0,0,0,34,0,0
"Biliam Air",342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0
"eXtreme eXpress chickenZ",479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0
Azul,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,42,0
"JL Air",487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,56,149,0,29,0
"Just Go Travel Airways",317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0
"To The Sky Airline",440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,237,0,0,0,0
MangoCats,360,0,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0
"Jerry Airlines",422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,31,0
"Fleet Services",393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,105,0,0,166,0,22,0
