Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Beechcraft Super King Air 200","Dassault Falcon 50","Cessna Caravan","Let L-410UVP-E20","Beechcraft 1900D","Let L-410NG","Britten-Norman MKIII Trislander","Yakovlev Yak-40","Short 360-200","Bombardier DHC-6-400","Short 330-200","Bombardier Global 5000","Cessna Citation X","Antonov An-140","Ilyushin Il-114-100","Embraer EMB120 Brasilia","Saab 340","Dornier 328-110","Ilyushin Il-114-300","CASA CN-235","Embraer ERJ140","Tupolev Tu-134","Antonov An148","Bombardier Global 7500","Embraer ERJ135","Fokker 70","Bombardier DHC-8-100","Ilyushin Il-18","Yakovlev Yak-42","ATR 42-600","Tupolev Tu-154","Dornier 328JET","Fokker 70ER","Comac ARJ21","ATR 72-600","Saab 2000","Fokker 50","Embraer ERJ145XR","Tupolev Tu-204","Embraer ERJ145","Boeing 737-100","Boeing 717-200","Bombardier DHC-8-200","Boeing 737-200","Sukhoi Superjet 100","Embraer ERJ170","Bombardier DHC-8-300","Fokker 100","Embraer ERJ175","Embraer EMB170-200","Boeing 737-300","Boeing 727-200","Embraer E175-E2","Bombardier CRJ100","Boeing 737-500","Gulfstream G650ER","Bombardier CRJ200","BAe 146-200","Boeing 737-400","Bombardier DHC-8-400","Bombardier Q400","Ilyushin Il-86","Ilyushin Il-62","McDonnell Douglas MD-90","Bombardier CRJ900","Embraer EMB190","Lockheed L-1011-1","Ilyushin Il-96-300","Airbus A300-600","Bombardier CRJ700","Embraer E190-E2","McDonnell Douglas DC-8-50","Ilyushin 96-400","Comac C919","Irkut MC-21-300","Boeing 737-900","Bombardier CRJ1000","Boeing 757-300","McDonnell Douglas MD-11","McDonnell Douglas DC-10-30","Boeing 737-600","Airbus A310-200","Embraer E195-E2","Boeing 737-700","Boeing 767-300","Boeing 737-800","McDonnell Douglas MD-81","Airbus A310-300","Mitsubishi MRJ-100","Mitsubishi MRJ-90","Boeing 737-900ER","Boeing 737 MAX 8","Tupolev Tu-144D","Boeing 747-200","Boeing 747-100","Bombardier CS100","Airbus A319neo","Airbus A321","Boeing 737-700ER","Boeing 737-700C","Airbus A320neo","Boeing 757-200ER","Airbus A318","Airbus A321neoXLR","Airbus A319","Boeing 737 MAX 9","Bombardier CS300","Airbus A320","Lockheed L-1011-500","Boeing 737 MAX 7","Boeing 767-200ER","Boeing 757-200","Boeing 767-400ER","Boeing 747-400ER","Boeing 747-300","Airbus A321neoLR","Boeing 787-8 Dreamliner",Concorde,"Airbus A330-200","Airbus A340-200","Airbus A321neo","Boeing 737 MAX 10","Airbus A340-600","Boeing 767-200","Airbus A340-300","Airbus A340-500","Boeing 777-300ER","Boeing 777-300","Boeing 787-9 Dreamliner","Boeing 747-400","Airbus A330-300","Boeing 777-200ER","Boeing 787-10 Dreamliner","Airbus A330-800neo","Airbus A350-900","Boeing 767-300ER","Boeing 777-200LR","Boeing 747SP","Boeing 747-8i","Airbus A350-900ULR","Boeing 777-8","Airbus A350-800","Boeing 777-200","Airbus A330-900neo","Airbus A350-1000","Boeing 777-9","Airbus A380-800"
"JL Air",582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,259,0,0
MayanAir,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,46,0,0,0,0,86,0,0,0,0,0,14,0,0,0,0
AeroExpat,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,133,0,0
Flyght,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0
BETAS,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,10,0,0,0,0
Plupi,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0
"Fleet Services",568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,186,0,0,190,0,23
"Sky Chariot",583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,132,0,0,0,0
"Wiliams International",470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,73,0,0,53,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,31,0,0,0,0,0,0,0
"European Southern",503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,56,0,0,0,109,0,0,0,37,82,0,0,0,0,0,7,0,0,0,0
