Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Beechcraft Super King Air 200","Beechcraft 1900D","Dassault Falcon 50","Cessna Caravan","Britten-Norman MKIII Trislander","Let L-410UVP-E20","Let L-410NG","Bombardier Global 5000","Bombardier DHC-6-400","Short 360-200","Short 330-200","Saab 340","Embraer EMB120 Brasilia","Cessna Citation X","Dornier 328-110","CASA CN-235","Embraer ERJ140","Embraer ERJ135","Antonov An148","Bombardier DHC-8-100","Bombardier Global 7500","Fokker 70","Dornier 328JET","ATR 42-600","Fokker 70ER","Saab 2000","Bombardier DHC-8-200","Fokker 50","Tupolev Tu-154","Embraer ERJ145","Fokker 100","Comac ARJ21","Embraer ERJ145XR","Tupolev Tu-204","Sukhoi Superjet 100","ATR 72-600","Boeing 717-200","Bombardier DHC-8-300","Embraer ERJ175","Embraer ERJ170","Embraer EMB170-200","Boeing 737-200","Bombardier Q400","Bombardier CRJ100","Boeing 737-100","BAe 146-200","Boeing 727-200","Gulfstream G650ER","Bombardier CRJ200","Bombardier DHC-8-400","Bombardier CRJ900","Embraer E175-E2","McDonnell Douglas MD-81","Boeing 737-300","Boeing 737-400","McDonnell Douglas MD-90","Lockheed L-1011-1","Embraer EMB190","Boeing 737-500","Ilyushin Il-96-300","Embraer E190-E2","Bombardier CRJ1000","Bombardier CRJ700","Airbus A300-600","Boeing 757-300","Boeing 737-700ER","Ilyushin 96-400","McDonnell Douglas DC-8-50","Irkut MC-21-300","Airbus A310-200","Mitsubishi MRJ-100","Boeing 737-700","Boeing 737-900","Boeing 737-600","Airbus A320neo","Airbus A310-300","Boeing 767-300","Lockheed L-1011-500","Comac C919","Embraer E195-E2","Boeing 737-800","McDonnell Douglas DC-10-30","Airbus A320",Concorde,"Mitsubishi MRJ-90","Boeing 737-900ER","Airbus A319neo","Boeing 747-100","Bombardier CS100","Airbus A340-200","Airbus A321","Tupolev Tu-144D","Airbus A318","Boeing 757-200","McDonnell Douglas MD-11","Boeing 737-700C","Airbus A321neoLR","Boeing 757-200ER","Boeing 747-200","Airbus A321neoXLR","Airbus A340-300","Boeing 747-300","Airbus A319","Boeing 737 MAX 8","Airbus A340-500","Bombardier CS300","Boeing 767-200ER","Boeing 737 MAX 7","Boeing 747-400ER","Airbus A340-600","Boeing 767-400ER","Boeing 737 MAX 9","Airbus A330-200","Airbus A321neo","Boeing 787-8 Dreamliner","Boeing 747-400","Boeing 737 MAX 10","Boeing 767-200","Boeing 777-300","Airbus A330-300","Boeing 787-9 Dreamliner","Airbus A350-900","Boeing 777-200LR","Boeing 777-200ER","Boeing 777-300ER","Airbus A350-900ULR","Boeing 767-300ER","Boeing 787-10 Dreamliner","Airbus A330-800neo","Boeing 747SP","Airbus A350-800","Boeing 777-200","Airbus A330-900neo","Boeing 777-8","Boeing 747-8i","Airbus A350-1000","Airbus A380-800","Boeing 777-9"
"Just Go Travel Airways",306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0
RedJet,225,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
"Illini Air",256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0
AirSwapXtra,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0
Odessair,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,141,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0
"Primrose Airlink",202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,9,0,99,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fleet Services",372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,180,13,0
"Good Speed",230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,87,0,6,0,30,0,19,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,49,0,0,0,0,0
"Legend Air Lines",169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"European International",270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0
"Korean Air Lines Co Ltd",306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0
JBL,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,4,78,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,8,0,0,0
