Airline,Total,"Cessna 421","Pilatus PC-12","Britten-Norman BN-2 Islander","Beechcraft Super King Air 200","Dassault Falcon 50","Cessna Caravan","Beechcraft 1900D","Let L-410UVP-E20","Let L-410NG","Britten-Norman MKIII Trislander","Yakovlev Yak-40","Short 330-200","Short 360-200","Bombardier DHC-6-400","Bombardier Global 5000","Saab 340","Cessna Citation X","Ilyushin Il-114-100","Antonov An-140","Embraer EMB120 Brasilia","Ilyushin Il-114-300","Dornier 328-110","Embraer ERJ140","CASA CN-235","Tupolev Tu-134","Antonov An148","Dornier 328JET","Bombardier Global 7500","Embraer ERJ135","Fokker 50","Yakovlev Yak-42","Ilyushin Il-18","ATR 42-600","ATR 72-600","Fokker 70ER","Fokker 70","Bombardier DHC-8-100","Tupolev Tu-154","Saab 2000","Comac ARJ21","Embraer ERJ145","Sukhoi Superjet 100","Tupolev Tu-204","Embraer ERJ145XR","Bombardier DHC-8-200","Embraer EMB170-200","Boeing 717-200","Fokker 100","Boeing 737-100","Boeing 737-200","Embraer ERJ175","Bombardier DHC-8-300","Embraer ERJ170","Boeing 737-300","Boeing 727-200","Bombardier CRJ100","BAe 146-200","Bombardier Q400","Boeing 737-500","Gulfstream G650ER","Bombardier CRJ200","Embraer E175-E2","Bombardier DHC-8-400","Ilyushin Il-86","Boeing 737-400","Ilyushin Il-62","Bombardier CRJ900","Ilyushin Il-96-300","McDonnell Douglas MD-90","Embraer EMB190","Lockheed L-1011-1","Comac C919","Bombardier CRJ700","Airbus A300-600","Boeing 737-900","Embraer E190-E2","Ilyushin 96-400","Irkut MC-21-300","Boeing 757-300","Bombardier CRJ1000","Boeing 737-700","Boeing 737-600","Airbus A310-200","Boeing 737-900ER","McDonnell Douglas DC-10-30","Embraer E195-E2","Mitsubishi MRJ-100","McDonnell Douglas DC-8-50","Airbus A310-300","McDonnell Douglas MD-81","Boeing 767-300","Boeing 737-800","McDonnell Douglas MD-11","Boeing 737 MAX 8","Mitsubishi MRJ-90","Boeing 747-100","Airbus A319neo","Tupolev Tu-144D","Boeing 737-700ER","Bombardier CS100","Airbus A321","Boeing 747-200","Boeing 737-700C","Airbus A321neoXLR","Airbus A320neo","Airbus A318","Airbus A319","Lockheed L-1011-500","Bombardier CS300","Airbus A320","Boeing 737 MAX 7","Boeing 757-200","Boeing 747-400ER","Boeing 767-400ER","Boeing 767-200ER","Boeing 757-200ER","Boeing 737 MAX 9","Airbus A321neoLR","Boeing 747-300","Airbus A340-200","Boeing 787-8 Dreamliner",Concorde,"Airbus A321neo","Boeing 737 MAX 10","Airbus A340-500","Airbus A340-300","Boeing 777-300","Boeing 767-200","Airbus A330-200","Airbus A340-600","Boeing 777-300ER","Boeing 747-400","Boeing 787-9 Dreamliner","Airbus A330-300","Boeing 777-200ER","Boeing 787-10 Dreamliner","Airbus A350-900","Airbus A330-800neo","Boeing 767-300ER","Boeing 777-200LR","Boeing 747SP","Airbus A350-900ULR","Boeing 747-8i","Airbus A350-800","Boeing 777-200","Airbus A330-900neo","Boeing 777-8","Airbus A350-1000","Boeing 777-9","Airbus A380-800"
"European Southern",420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,192,0,0,0,0,0,0,95,0,0,0,39,30,0,0,0,0,7,0,29,0,0,0
"Grape Adventures Airways",210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,66,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Good Speed",422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,29,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,11,0,0,0,0,69,0,0,0,0,0,0,0,0
"Air Chocobo",530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,281,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Air Canada",434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,52,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Airfare Prime",292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,16,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,147,0,27,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asores,173,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,17,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Simson Air",197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
"All Elite Airlines",221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0
"Starbux Airline",316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0
