Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Beechcraft 1900D","Beechcraft Super King Air 200","Dassault Falcon 50","Cessna Caravan","Let L-410UVP-E20","Yakovlev Yak-40","Let L-410NG","Britten-Norman MKIII Trislander","Short 330-200","Bombardier DHC-6-400","Short 360-200","Bombardier Global 5000","Saab 340","Antonov An-140","Ilyushin Il-114-300","Ilyushin Il-114-100","Dornier 328-110","Cessna Citation X","Embraer EMB120 Brasilia","CASA CN-235","Tupolev Tu-134","Yakovlev Yak-42","Embraer ERJ135","Antonov An148","Fokker 50","Embraer ERJ140","ATR 42-600","Bombardier Global 7500","Dornier 328JET","Fokker 70","Fokker 70ER","Ilyushin Il-18","Bombardier DHC-8-100","Tupolev Tu-154","Sukhoi Superjet 100","Comac ARJ21","ATR 72-600","Tupolev Tu-204","Embraer ERJ145","Embraer ERJ145XR","Boeing 737-100","Boeing 717-200","Bombardier DHC-8-200","Fokker 100","Saab 2000","Bombardier DHC-8-300","Embraer EMB170-200","Bombardier CRJ100","Embraer ERJ175","Boeing 727-200","Boeing 737-400","Boeing 737-200","Embraer ERJ170","Boeing 737-300","Embraer E175-E2","BAe 146-200","Comac C919","Gulfstream G650ER","Bombardier CRJ200","Bombardier DHC-8-400","Bombardier Q400","Ilyushin Il-86","Boeing 737-500","Ilyushin Il-62","Bombardier CRJ900","Ilyushin Il-96-300","McDonnell Douglas MD-90","Lockheed L-1011-1","Embraer EMB190","Bombardier CRJ700","Embraer E190-E2","Airbus A300-600","Ilyushin 96-400","Airbus A310-200","Bombardier CRJ1000","Boeing 767-300","Boeing 737-900","McDonnell Douglas DC-8-50","Boeing 737-600","Irkut MC-21-300","Boeing 757-300","Boeing 737-700","McDonnell Douglas MD-81","Boeing 737-800","Embraer E195-E2","Mitsubishi MRJ-100","McDonnell Douglas DC-10-30","Mitsubishi MRJ-90","Boeing 737 MAX 8","Boeing 737-900ER","Boeing 747-100","Lockheed L-1011-500","Airbus A321","Tupolev Tu-144D","Boeing 747-200","Bombardier CS100","Airbus A320neo","Airbus A319neo","McDonnell Douglas MD-11","Boeing 737-700ER","Airbus A310-300","Boeing 737-700C","Boeing 767-200ER","Airbus A318","Boeing 737 MAX 7","Airbus A319","Bombardier CS300","Airbus A320","Boeing 777-300","Airbus A321neoXLR","Boeing 757-200","Boeing 737 MAX 9","Airbus A340-600","Boeing 747-400ER","Boeing 747-300","Boeing 777-300ER","Boeing 757-200ER","Airbus A340-500","Boeing 767-400ER","Airbus A340-300","Airbus A321neoLR","Boeing 787-8 Dreamliner",Concorde,"Airbus A340-200","Boeing 767-200","Boeing 737 MAX 10","Airbus A330-200","Airbus A321neo","Boeing 747-400","Boeing 787-9 Dreamliner","Airbus A330-300","Boeing 767-300ER","Boeing 787-10 Dreamliner","Airbus A330-800neo","Boeing 777-200ER","Boeing 747SP","Boeing 777-200LR","Airbus A350-900","Boeing 747-8i","Airbus A350-900ULR","Boeing 777-8","Boeing 777-200","Airbus A350-800","Airbus A330-900neo","Airbus A350-1000","Boeing 777-9","Airbus A380-800"
"European International",372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Good Speed",404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,193,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,46,0,0,0,0,0,0,0
"European Southern",323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,41,0,0,0,0,0,0
"Air Canada",429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,48,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Air Bavaria Express",262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0
"Legend Air Lines",212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grape Adventures Airways",175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,58,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Primrose Airlink",266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,40,0,52,0,0,0,0,0,0,0,0,0,0
"Air Chocobo",454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,224,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Japan Airlines JAL",258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,57,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,44,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
