Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Beechcraft Super King Air 200","Dassault Falcon 50","Cessna Caravan","Let L-410UVP-E20","Beechcraft 1900D","Let L-410NG","Yakovlev Yak-40","Britten-Norman MKIII Trislander","Short 360-200","Short 330-200","Bombardier Global 5000","Bombardier DHC-6-400","Saab 340","Antonov An-140","Embraer EMB120 Brasilia","Cessna Citation X","Dornier 328-110","Ilyushin Il-114-300","Ilyushin Il-114-100","CASA CN-235","Embraer ERJ135","Tupolev Tu-134","Bombardier Global 7500","Fokker 50","Antonov An148","Yakovlev Yak-42","Embraer ERJ140","Dornier 328JET","Fokker 70ER","Ilyushin Il-18","ATR 72-600","Fokker 70","Bombardier DHC-8-100","Tupolev Tu-154","Embraer ERJ145XR","ATR 42-600","Embraer ERJ145","Sukhoi Superjet 100","Comac ARJ21","Tupolev Tu-204","Boeing 717-200","Bombardier DHC-8-200","Fokker 100","Boeing 737-100","Embraer EMB170-200","Saab 2000","Bombardier DHC-8-300","Boeing 737-200","Embraer ERJ175","Embraer ERJ170","Boeing 727-200","Boeing 737-400","Bombardier CRJ100","Embraer E175-E2","BAe 146-200","Boeing 737-300","Gulfstream G650ER","Bombardier CRJ200","Bombardier Q400","Bombardier DHC-8-400","Ilyushin Il-86","Comac C919","Ilyushin Il-62","Boeing 737-500","Ilyushin Il-96-300","Bombardier CRJ900","McDonnell Douglas MD-90","Lockheed L-1011-1","Embraer EMB190","Bombardier CRJ700","Boeing 757-300","Embraer E190-E2","Ilyushin 96-400","Airbus A300-600","Airbus A310-200","Boeing 737-900","Bombardier CRJ1000","McDonnell Douglas MD-81","Boeing 737-900ER","Mitsubishi MRJ-100","Irkut MC-21-300","Boeing 737-600","McDonnell Douglas DC-8-50","Embraer E195-E2","Boeing 767-300","Boeing 737-800","McDonnell Douglas DC-10-30","Boeing 737-700","Boeing 737 MAX 8","Mitsubishi MRJ-90","Boeing 747-200","Boeing 747-100","Tupolev Tu-144D","McDonnell Douglas MD-11","Airbus A321","Boeing 737-700ER","Bombardier CS100","Airbus A320neo","Airbus A319neo","Lockheed L-1011-500","Boeing 737-700C","Airbus A318","Airbus A319","Airbus A310-300","Bombardier CS300","Airbus A321neoXLR","Boeing 737 MAX 7","Airbus A320","Boeing 777-300","Boeing 757-200","Boeing 737 MAX 9","Airbus A321neoLR","Boeing 747-400ER","Airbus A340-600","Boeing 747-300","Boeing 757-200ER","Boeing 767-200ER","Airbus A330-200","Airbus A340-300","Boeing 787-8 Dreamliner","Airbus A340-500","Boeing 767-400ER",Concorde,"Boeing 767-200","Boeing 737 MAX 10","Airbus A321neo","Airbus A340-200","Boeing 777-300ER","Boeing 747-400","Boeing 787-9 Dreamliner","Airbus A330-300","Boeing 767-300ER","Boeing 777-200ER","Boeing 787-10 Dreamliner","Boeing 777-200LR","Airbus A330-800neo","Boeing 747SP","Airbus A350-900","Boeing 747-8i","Boeing 777-200","Airbus A350-900ULR","Airbus A350-800","Airbus A330-900neo","Boeing 777-8","Boeing 777-9","Airbus A350-1000","Airbus A380-800"
"Air Canada",447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,56,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0
"Good Speed",421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,12,0,0,60,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,58,0,0,0,0,0,0
"Air Chocobo",499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,256,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grape Adventures Airways",195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,73,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Primrose Airlink",286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,45,0,54,0,0,0,0,0,0,0,0,0,0,0,0
"Air Bavaria Express",270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0
"Japan Airlines JAL",270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,28,0,0,53,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,63,66,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"European International",365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0
"Legend Air Lines",212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China United Airlines",300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,69,0,8,0,0,0,0,0,0,0,0,9,0,0,0
